Extraction,Number,PCR_rep,Timepoint,Timepoint_name,Carboy,Time_sampled,Hours_base,Days_base,Component,Filter,Marker,Filt_mL,Control,Reaction,Dilution,ddPCR_copies_ul_well,Positive_droplets,Negative_droplets,copies_ul_extract,copies_mL
52345-752,752,2,0,At_base,3,18:19,0,0,RNA,5,16S,1200,FALSE,Monoplex,1,,,,0,0
52345-752,752,2,0,At_base,3,18:19,0,0,RNA,5,Cytb,1200,FALSE,Monoplex,0.4,0.110059,2,21379,3.0266225,0.126109271
52345-752,752,1,0,At_base,3,18:19,0,0,RNA,5,Cytb,1200,FALSE,Monoplex,0.4,0.273012,5,21544,7.50783,0.31282625
52345-752,752,3,0,At_base,3,18:19,0,0,DNA,5,Bridge,1200,FALSE,Duplex,1,1.141679384,20,20473,12.55847322,0.523269718
52345-752,752,1,0,At_base,3,18:19,0,0,DNA,5,Bridge,1200,FALSE,Duplex,1,1.181033186,18,17903,12.99136504,0.541306877
52345-752,752,2,0,At_base,3,18:19,0,0,DNA,5,Bridge,1200,FALSE,Duplex,1,1.990816509,37,22048,21.89898159,0.912457566
52345-752,752,3,0,At_base,3,18:19,0,0,DNA,5,Dloop,1200,FALSE,Duplex,1,7.198026657,125,20368,79.17829323,3.299095551
52345-752,752,2,0,At_base,3,18:19,0,0,DNA,5,Dloop,1200,FALSE,Duplex,1,9.627910614,180,21905,105.9070168,4.412792365
52345-752,752,1,0,At_base,3,18:19,0,0,DNA,5,Dloop,1200,FALSE,Duplex,1,10.21963692,155,17766,112.4160061,4.684000255
52345-752,752,1,0,At_base,3,18:19,0,0,RNA,5,16S,1200,FALSE,Monoplex,0.1,1.435012077,24,19664,157.8513285,6.577138686
52345-752,752,2,0,At_base,3,18:19,0,0,DNA,5,16S,1200,FALSE,Monoplex,1,19.14614487,309,18833,210.6075936,8.775316399
52345-752,752,5,0,At_base,3,18:19,0,0,DNA,5,16S,1200,FALSE,Duplex,1,20.14970016,348,20145,221.6467018,9.235279242
52345-752,752,1,0,At_base,3,18:19,0,0,DNA,5,16S,1200,FALSE,Monoplex,1,21.84283829,392,20918,240.2712212,10.01130088
52345-752,752,3,0,At_base,3,18:19,0,0,DNA,5,16S,1200,FALSE,Duplex,1,23.13703918,349,17572,254.507431,10.60447629
52345-752,752,4,0,At_base,3,18:19,0,0,DNA,5,16S,1200,FALSE,Duplex,1,24.16476631,449,21636,265.8124294,11.07551789
52345-752,752,1,0,At_base,3,18:19,0,0,DNA,5,Cytb,1200,FALSE,Monoplex,1,25.00793266,427,19875,275.0872593,11.46196914
52345-752,752,2,0,At_base,3,18:19,0,0,DNA,5,Cytb,1200,FALSE,Monoplex,0.1,3.120686054,57,21460,343.2754659,14.30314441
52345-752,752,1,0,At_base,3,18:19,0,0,Carryover,5,Cytb,1200,FALSE,Monoplex,1,34.39312744,567,19113,378.3244018,15.76351674
52345-752,752,2,0,At_base,3,18:19,0,0,Carryover,5,Cytb,1200,FALSE,Monoplex,0.1,4.92774725,90,21442,542.0521975,22.58550823
52345-751,751,2,0,At_base,2,18:21,0,0,RNA,5,16S,1000,FALSE,Monoplex,1,,,,0,0
52345-751,751,1,0,At_base,2,18:21,0,0,RNA,5,Cytb,1000,FALSE,Monoplex,0.4,0.058976,1,19947,1.62184,0.081092
52345-751,751,2,0,At_base,2,18:21,0,0,RNA,5,Cytb,1000,FALSE,Monoplex,0.4,0.292482,5,20109,8.043255,0.40216275
52345-751,751,1,0,At_base,2,18:21,0,0,DNA,5,Bridge,1000,FALSE,Duplex,1,1.463592289,20,16456,16.09951518,0.804975759
52345-751,751,3,0,At_base,2,18:21,0,0,DNA,5,Bridge,1000,FALSE,Duplex,1,2.105923435,40,22425,23.16515778,1.158257889
52345-751,751,2,0,At_base,2,18:21,0,0,DNA,5,Bridge,1000,FALSE,Duplex,1,2.911534238,54,21947,32.02687662,1.601343831
52345-751,751,3,0,At_base,2,18:21,0,0,DNA,5,Dloop,1000,FALSE,Duplex,1,7.881699085,150,22315,86.69868994,4.334934497
52345-751,751,1,0,At_base,2,18:21,0,0,DNA,5,Dloop,1000,FALSE,Duplex,1,8.09657383,113,16363,89.06231213,4.453115607
52345-751,751,2,0,At_base,2,18:21,0,0,DNA,5,Dloop,1000,FALSE,Duplex,1,10.527771,196,21805,115.805481,5.79027405
52345-751,751,2,0,At_base,2,18:21,0,0,DNA,5,16S,1000,FALSE,Monoplex,1,14.35503387,263,21423,157.9053726,7.895268629
52345-751,751,5,0,At_base,2,18:21,0,0,DNA,5,16S,1000,FALSE,Duplex,1,14.38432789,273,22192,158.2276068,7.911380339
