"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_16S","52345-502",1,"dPB133","C03","detected",665.205526399968,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",60,21253,0.00085,3.326027632,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-502",2,"dPB133","C07","detected",655.260801399967,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",53,19058,0.00085,3.276304007,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-502",3,"dPB133","C11","detected",914.998531399955,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",72,18551,0.00085,4.574992657,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-503",1,"dPB134","D03","detected",281.698560799986,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",26,21730,0.00085,1.408492804,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-503",2,"dPB134","D07","detected",320.376109999984,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",29,21313,0.00085,1.60188055,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-503",3,"dPB134","D11","detected",284.601330799986,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",24,19854,0.00085,1.423006654,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-504",1,"dPB133","D02","detected",304.094027510206,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",26,22594,0.00085,1.354600668,"copies/uL",2.45,1,"field survey"
"Tt_16S","52345-504",2,"dPB133","D06","detected",363.704861367349,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",26,18893,0.00085,1.620139837,"copies/uL",2.45,1,"field survey"
"Tt_16S","52345-504",3,"dPB133","D10","detected",271.056330959186,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",21,20472,0.00085,1.207432747,"copies/uL",2.45,1,"field survey"
"Tt_16S","52345-505",1,"dPB133","C02","detected",110.825069807693,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",10,22461,0.00085,0.52390033,"copies/uL",2.6,1,"field survey"
"Tt_16S","52345-505",2,"dPB133","C06","detected",273.57523494231,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",21,19114,0.00085,1.293264747,"copies/uL",2.6,1,"field survey"
"Tt_16S","52345-505",3,"dPB133","C10","detected",110.036157634616,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",10,22622,0.00085,0.520170927,"copies/uL",2.6,1,"field survey"
"Tt_16S","52345-506",1,"dPB134","A04","detected",357.697381094341,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",32,21860,0.00085,1.723451018,"copies/uL",2.65,1,"field survey"
"Tt_16S","52345-506",2,"dPB134","A08","detected",356.348100754718,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",31,21257,0.00085,1.71694994,"copies/uL",2.65,1,"field survey"
"Tt_16S","52345-506",3,"dPB134","A12","detected",324.051989716982,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",28,21112,0.00085,1.561341405,"copies/uL",2.65,1,"field survey"
"Tt_16S","52345-507",1,"dPB134","A02","detected",84.4142257999958,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",8,22303,0.00085,0.422071129,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-507",2,"dPB134","A06","detected",122.787058399994,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",9,17251,0.00085,0.613935292,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-507",3,"dPB134","A10","detected",93.1831479999953,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",7,17679,0.00085,0.46591574,"copies/uL",2.75,1,"field survey"
"Tt_16S","52345-509",1,"dPB134","C01","detected",413.904292214298,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",34,19000,0.00085,2.107149124,"copies/uL",2.8,1,"field survey"
