"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_Cytb","52345-502",1,"dPB125","C01","detected",983.200454711866,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",81,19425,0.00085,4.91600227355957,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-502",2,"dPB125","C05","detected",853.732490539508,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",75,20708,0.00085,4.26866245269775,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-502",3,"dPB125","C09","detected",1030.0978660583,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",87,19916,0.00085,5.15048933029175,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-503",1,"dPB127","D01","detected",418.528127670267,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",36,20257,0.00085,2.09264063835144,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-503",2,"dPB127","D05","detected",443.361425399759,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",39,20717,0.00085,2.2168071269989,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-503",3,"dPB127","D09","detected",389.393830299359,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",33,19957,0.00085,1.94696915149689,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-504",1,"dPB124","D02","detected",359.977632152793,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",29,21291,0.00085,1.60353672504425,"copies/uL",2.45,1,"field survey"
"Tt_Cytb","52345-504",2,"dPB124","D06","detected",426.378094420144,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",36,22317,0.00085,1.89932060241699,"copies/uL",2.45,1,"field survey"
"Tt_Cytb","52345-504",3,"dPB124","D10","detected",400.887182780678,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",33,21757,0.00085,1.78577017784119,"copies/uL",2.45,1,"field survey"
"Tt_Cytb","52345-505",1,"dPB124","C02","detected",233.165112825543,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",20,21357,0.00085,1.10223507881165,"copies/uL",2.6,1,"field survey"
"Tt_Cytb","52345-505",2,"dPB124","C06","detected",276.379631115843,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",25,22524,0.00085,1.30652189254761,"copies/uL",2.6,1,"field survey"
"Tt_Cytb","52345-505",3,"dPB124","C10","detected",275.486256067571,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",25,22597,0.00085,1.30229866504669,"copies/uL",2.6,1,"field survey"
"Tt_Cytb","52345-506",1,"dPB127","A02","detected",321.197779673451,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",23,17496,0.00085,1.54758930206299,"copies/uL",2.65,1,"field survey"
"Tt_Cytb","52345-506",2,"dPB127","A06","detected",328.121306761256,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",29,21595,0.00085,1.58094811439514,"copies/uL",2.65,1,"field survey"
"Tt_Cytb","52345-506",3,"dPB127","A10","detected",366.386811688263,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",31,20675,0.00085,1.76531827449799,"copies/uL",2.65,1,"field survey"
"Tt_Cytb","52345-507",1,"dPB126","A02","detected",165.029191970817,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",11,15689,0.00085,0.825145959854126,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-507",2,"dPB126","A06","detected",180.933618545523,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",18,23417,0.00085,0.904668092727661,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-507",3,"dPB126","A10","detected",135.251235961907,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",11,19142,0.00085,0.67625617980957,"copies/uL",2.75,1,"field survey"
"Tt_Cytb","52345-509",1,"dPB126","C01","detected",568.872392177598,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",48,19523,0.00085,2.89607763290405,"copies/uL",2.8,1,"field survey"
"Tt_Cytb","52345-509",2,"dPB126","C05","detected",485.575526952757,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",41,19533,0.00085,2.47202086448669,"copies/uL",2.8,1,"field survey"
"Tt_Cytb","52345-509",3,"dPB126","C09","detected",602.471794400915,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",54,20740,0.00085,3.06712913513184,"copies/uL",2.8,1,"field survey"
"Tt_Cytb","52345-510",1,"dPB126","D02","detected",527.006915637441,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",43,18877,0.00085,2.68294429779053,"copies/uL",2.8,1,"field survey"
