"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_DLL1","52345-502",1,"dPB133","C03","detected",432.169580399979,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",39,21253,0.00085,2.160847902,"copies/uL",2.75,1,"field survey"
"Tt_DLL1","52345-502",2,"dPB133","C07","detected",556.236505599973,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",45,19058,0.00085,2.781182528,"copies/uL",2.75,1,"field survey"
"Tt_DLL1","52345-502",3,"dPB133","C11","detected",762.251472399963,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",60,18551,0.00085,3.811257362,"copies/uL",2.75,1,"field survey"
"Tt_DLL1","52345-503",1,"dPB134","D03","detected",303.381657599985,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",28,21730,0.00085,1.516908288,"copies/uL",2.75,1,"field survey"
"Tt_DLL1","52345-503",2,"dPB134","D07","detected",331.431341199984,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",30,21313,0.00085,1.657156706,"copies/uL",2.75,1,"field survey"
"Tt_DLL1","52345-503",3,"dPB134","D11","detected",189.695954399991,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",16,19854,0.00085,0.948479772,"copies/uL",2.75,1,"field survey"
"Tt_DLL1","52345-504",1,"dPB133","D02","detected",245.587203040818,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",21,22594,0.00085,1.093979359,"copies/uL",2.45,1,"field survey"
"Tt_DLL1","52345-504",2,"dPB133","D06","detected",335.709790877553,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",24,18893,0.00085,1.495434523,"copies/uL",2.45,1,"field survey"
"Tt_DLL1","52345-504",3,"dPB133","D10","detected",180.673302408165,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",14,20472,0.00085,0.804817438,"copies/uL",2.45,1,"field survey"
"Tt_DLL1","52345-505",1,"dPB133","C02","detected",99.7403425192315,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",9,22461,0.00085,0.471499801,"copies/uL",2.6,1,"field survey"
