"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_longFrag","52345-502",1,"dPB133","C03","detected",175.984466599991,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",16,21253,0.00085,0.879922333,"copies/uL",2.75,1,"field survey"
"Tt_longFrag","52345-502",2,"dPB133","C07","detected",171.364303799991,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",14,19058,0.00085,0.856821519,"copies/uL",2.75,1,"field survey"
"Tt_longFrag","52345-502",3,"dPB133","C11","detected",187.375459199991,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",15,18551,0.00085,0.936877296,"copies/uL",2.75,1,"field survey"
"Tt_longFrag","52345-503",1,"dPB134","D03","detected",86.2776707999957,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",8,21730,0.00085,0.431388354,"copies/uL",2.75,1,"field survey"
"Tt_longFrag","52345-503",2,"dPB134","D07","detected",65.7981523999967,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",6,21313,0.00085,0.328990762,"copies/uL",2.75,1,"field survey"
"Tt_longFrag","52345-503",3,"dPB134","D11","detected",70.8887795999965,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",6,19854,0.00085,0.354443898,"copies/uL",2.75,1,"field survey"
"Tt_longFrag","52345-504",1,"dPB133","D02","detected",104.94111167347,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",9,22594,0.00085,0.467464952,"copies/uL",2.45,1,"field survey"
"Tt_longFrag","52345-504",2,"dPB133","D06","detected",111.393955244899,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",8,18893,0.00085,0.496209437,"copies/uL",2.45,1,"field survey"
"Tt_longFrag","52345-504",3,"dPB133","D10","detected",25.6176180408165,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",2,20472,0.00085,0.114114844,"copies/uL",2.45,1,"field survey"
"Tt_longFrag","52345-505",1,"dPB133","C02","detected",11.0358875000001,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",1,22461,0.00085,0.05216965,"copies/uL",2.6,1,"field survey"
"Tt_longFrag","52345-505",2,"dPB133","C06","detected",25.8987687115387,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",2,19114,0.00085,0.122430543,"copies/uL",2.6,1,"field survey"
"Tt_longFrag","52345-505",3,"dPB133","C10","detected",32.9425116730772,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",3,22622,0.00085,0.155728237,"copies/uL",2.6,1,"field survey"
"Tt_longFrag","52345-506",1,"dPB134","A04","detected",77.6781390000002,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",7,21860,0.00085,0.374267397,"copies/uL",2.65,1,"field survey"
"Tt_longFrag","52345-506",2,"dPB134","A08","detected",91.5423582264154,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",8,21257,0.00085,0.441067726,"copies/uL",2.65,1,"field survey"
"Tt_longFrag","52345-506",3,"dPB134","A12","detected",69.1733673773588,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",6,21112,0.00085,0.333289861,"copies/uL",2.65,1,"field survey"
"Tt_longFrag","52345-507",1,"dPB134","A02","detected",10.5312011999995,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",1,22303,0.00085,0.052656006,"copies/uL",2.75,1,"field survey"
"Tt_longFrag","52345-507",2,"dPB134","A06","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,17251,0.00085,0,"copies/uL",2.75,1,"field survey"
