"samp_name","materialSampleID","samp_category","eventDate","verbatimEventTime","decimalLatitude","decimalLongitude","verbatimCoordinateSystem","verbatimSRS","geo_loc_name","env_broad_scale","env_local_scale","env_medium","habitat_natural_artificial_0_1","minimumDepthInMeters","maximumDepthInMeters","samp_collect_device","samp_collect_method","samp_size","samp_size_unit","biological_rep_relation","sample_derived_from","filter_name","filter_material","filter_diameter","filter_passive_active_0_1","samp_store_sol","samp_store_temp","samp_store_dur","nucl_acid_ext","nucl_acid_ext_kit","date_ext","samp_vol_we_dna_ext","samp_vol_we_dna_ext_unit","tidal_stage","temp","salinity","dataset"
"52345-531","52345-531","sample","2024-10-16","11:30",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.002666667,"L","52345-531 | 52345-532 | 52345-533","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-532","52345-532","sample","2024-10-16","11:30",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.002666667,"L","52345-531 | 52345-532 | 52345-533","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-533","52345-533","sample","2024-10-16","11:30",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.002666667,"L","52345-531 | 52345-532 | 52345-533","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-534","52345-534","sample","2024-10-16","12:00",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.016666667,"L","52345-534 | 52345-535 | 52345-536","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-535","52345-535","sample","2024-10-16","12:00",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.016666667,"L","52345-534 | 52345-535 | 52345-536","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-536","52345-536","sample","2024-10-16","12:00",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.016666667,"L","52345-534 | 52345-535 | 52345-536","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-537","52345-537","sample","2024-10-16","12:34",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.007333333,"L","52345-537 | 52345-538 | 52345-539","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-538","52345-538","sample","2024-10-16","12:34",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.007333333,"L","52345-537 | 52345-538 | 52345-539","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-539","52345-539","sample","2024-10-16","12:34",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.007333333,"L","52345-537 | 52345-538 | 52345-539","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
"52345-540","52345-540","sample","2024-10-16","13:00",47.742236,-122.729975,"decimal degrees","WGS84","USA: Washington, Hood Canal","marine biome [ENVO:00000447]","estuarine fjord [ENVO:00000406]","sea water [ENVO:00002149]",0,2,2,"Pufferfish","in situ filtration of seawater",3.005333333,"L","52345-540 | 52345-541 | 52345-542","not applicable: collected in situ","missing: not provided","missing: not provided",,1,"DNA/RNA Shield (Zymo)",-80,"missing: not provided","Filters thawed in DNA/RNA Shield, incubated 15 min at 37 C with agitation, buffer concentrated from 2 mL to ~400 uL on an Amicon Ultra-15 30 kDa unit (Millipore-Sigma), then coextracted with the Quick-DNA/RNA Miniprep Kit (Zymo Research) with a 30 min proteinase K incubation before binding buffer. The protocol yields two sequential extracts; only the first (DNA1) is analysed here.","Quick-DNA/RNA Miniprep Kit (Zymo Research)","missing: not provided",2,"mL of preservation buffer","missing: not provided",,,"field survey"
