"plate","well","sample","id","bio_rep","station","Instrument","depth","depthbin","time_collected","filter_start_time","time_min","vol","dilution","assay","marker","rep","extract","conc_machine","accepted","positives","negatives","log_offset"
"dPB133","C03","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_16S",1,"DNA1",3.326027632,21253,60,21193,-12.3685915750279
"dPB133","C07","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_16S",2,"DNA1",3.276304007,19058,53,19005,-12.3685915750279
"dPB133","C11","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_16S",3,"DNA1",4.574992657,18551,72,18479,-12.3685915750279
"dPB133","C03","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",2.160847902,21253,39,21214,-12.3685915750279
"dPB133","C07","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",2.781182528,19058,45,19013,-12.3685915750279
"dPB133","C11","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",3.811257362,18551,60,18491,-12.3685915750279
"dPB133","C03","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.879922333,21253,16,21237,-12.3685915750279
"dPB133","C07","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0.856821519,19058,14,19044,-12.3685915750279
"dPB133","C11","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.936877296,18551,15,18536,-12.3685915750279
"dPB125","C01","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"Cytb monoplex","cytb",1,"DNA1",4.91600227355957,19425,81,19344,-12.3685915750279
"dPB125","C05","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"Cytb monoplex","cytb",2,"DNA1",4.26866245269775,20708,75,20633,-12.3685915750279
"dPB125","C09","52345-502",502,1,"Husbandry Area","Smith Root",0,"0 m",1215,1225,735,2.75,1,"Cytb monoplex","cytb",3,"DNA1",5.15048933029175,19916,87,19829,-12.3685915750279
"dPB134","D03","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_16S",1,"DNA1",1.408492804,21730,26,21704,-12.3685915750279
"dPB134","D07","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_16S",2,"DNA1",1.60188055,21313,29,21284,-12.3685915750279
"dPB134","D11","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_16S",3,"DNA1",1.423006654,19854,24,19830,-12.3685915750279
"dPB134","D03","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",1.516908288,21730,28,21702,-12.3685915750279
"dPB134","D07","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",1.657156706,21313,30,21283,-12.3685915750279
"dPB134","D11","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",0.948479772,19854,16,19838,-12.3685915750279
"dPB134","D03","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.431388354,21730,8,21722,-12.3685915750279
"dPB134","D07","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0.328990762,21313,6,21307,-12.3685915750279
"dPB134","D11","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.354443898,19854,6,19848,-12.3685915750279
"dPB127","D01","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"Cytb monoplex","cytb",1,"DNA1",2.09264063835144,20257,36,20221,-12.3685915750279
"dPB127","D05","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"Cytb monoplex","cytb",2,"DNA1",2.2168071269989,20717,39,20678,-12.3685915750279
"dPB127","D09","52345-503",503,2,"Husbandry Area","Smith Root",0,"0 m",1218,1239,738,2.75,1,"Cytb monoplex","cytb",3,"DNA1",1.94696915149689,19957,33,19924,-12.3685915750279
"dPB133","D02","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_16S",1,"DNA1",1.354600668,22594,26,22568,-12.4841044621498
"dPB133","D06","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_16S",2,"DNA1",1.620139837,18893,26,18867,-12.4841044621498
"dPB133","D10","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_16S",3,"DNA1",1.207432747,20472,21,20451,-12.4841044621498
"dPB133","D02","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",1.093979359,22594,21,22573,-12.4841044621498
"dPB133","D06","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",1.495434523,18893,24,18869,-12.4841044621498
"dPB133","D10","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",0.804817438,20472,14,20458,-12.4841044621498
"dPB133","D02","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.467464952,22594,9,22585,-12.4841044621498
"dPB133","D06","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0.496209437,18893,8,18885,-12.4841044621498
"dPB133","D10","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.114114844,20472,2,20470,-12.4841044621498
"dPB124","D02","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"Cytb monoplex","cytb",1,"DNA1",1.60353672504425,21291,29,21262,-12.4841044621498
"dPB124","D06","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"Cytb monoplex","cytb",2,"DNA1",1.89932060241699,22317,36,22281,-12.4841044621498
"dPB124","D10","52345-504",504,3,"Husbandry Area","Smith Root",0,"0 m",1221,1245,741,2.45,1,"Cytb monoplex","cytb",3,"DNA1",1.78577017784119,21757,33,21724,-12.4841044621498
"dPB133","C02","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_16S",1,"DNA1",0.52390033,22461,10,22451,-12.424681041679
"dPB133","C06","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_16S",2,"DNA1",1.293264747,19114,21,19093,-12.424681041679
"dPB133","C10","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_16S",3,"DNA1",0.520170927,22622,10,22612,-12.424681041679
"dPB133","C02","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",0.471499801,22461,9,22452,-12.424681041679
"dPB133","C06","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",0.615663111,19114,10,19104,-12.424681041679
"dPB133","C10","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",0.676267087,22622,13,22609,-12.424681041679
"dPB133","C02","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.05216965,22461,1,22460,-12.424681041679
"dPB133","C06","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0.122430543,19114,2,19112,-12.424681041679
"dPB133","C10","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.155728237,22622,3,22619,-12.424681041679
"dPB124","C02","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"Cytb monoplex","cytb",1,"DNA1",1.10223507881165,21357,20,21337,-12.424681041679
"dPB124","C06","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"Cytb monoplex","cytb",2,"DNA1",1.30652189254761,22524,25,22499,-12.424681041679
"dPB124","C10","52345-505",505,1,"Husbandry Area","Smith Root",0,"0 m",1354,1404,834,2.6,1,"Cytb monoplex","cytb",3,"DNA1",1.30229866504669,22597,25,22572,-12.424681041679
"dPB134","A04","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_16S",1,"DNA1",1.723451018,21860,32,21828,-12.4056328467083
"dPB134","A08","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_16S",2,"DNA1",1.71694994,21257,31,21226,-12.4056328467083
"dPB134","A12","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_16S",3,"DNA1",1.561341405,21112,28,21084,-12.4056328467083
"dPB134","A04","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",1.723451018,21860,32,21828,-12.4056328467083
"dPB134","A08","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",1.218222499,21257,22,21235,-12.4056328467083
"dPB134","A12","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",0.836175203,21112,15,21097,-12.4056328467083
"dPB134","A04","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.374267397,21860,7,21853,-12.4056328467083
"dPB134","A08","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0.441067726,21257,8,21249,-12.4056328467083
"dPB134","A12","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.333289861,21112,6,21106,-12.4056328467083
"dPB127","A02","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"Cytb monoplex","cytb",1,"DNA1",1.54758930206299,17496,23,17473,-12.4056328467083
"dPB127","A06","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"Cytb monoplex","cytb",2,"DNA1",1.58094811439514,21595,29,21566,-12.4056328467083
"dPB127","A10","52345-506",506,2,"Husbandry Area","Smith Root",0,"0 m",1356,1411,836,2.65,1,"Cytb monoplex","cytb",3,"DNA1",1.76531827449799,20675,31,20644,-12.4056328467083
"dPB134","A02","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_16S",1,"DNA1",0.422071129,22303,8,22295,-12.3685915750279
"dPB134","A06","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_16S",2,"DNA1",0.613935292,17251,9,17242,-12.3685915750279
"dPB134","A10","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_16S",3,"DNA1",0.46591574,17679,7,17672,-12.3685915750279
"dPB134","A02","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",0.26377672,22303,5,22298,-12.3685915750279
"dPB134","A06","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",0.409254581,17251,6,17245,-12.3685915750279
"dPB134","A10","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",0.332778156,17679,5,17674,-12.3685915750279
"dPB134","A02","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.052656006,22303,1,22302,-12.3685915750279
"dPB134","A06","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0,17251,0,17251,-12.3685915750279
"dPB134","A10","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.066416348,17679,1,17678,-12.3685915750279
"dPB126","A02","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"Cytb monoplex","cytb",1,"DNA1",0.825145959854126,15689,11,15678,-12.3685915750279
"dPB126","A06","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"Cytb monoplex","cytb",2,"DNA1",0.904668092727661,23417,18,23399,-12.3685915750279
"dPB126","A10","52345-507",507,3,"Husbandry Area","Smith Root",0,"0 m",1359,1420,839,2.75,1,"Cytb monoplex","cytb",3,"DNA1",0.67625617980957,19142,11,19131,-12.3685915750279
"dPB134","C01","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_16S",1,"DNA1",2.107149124,19000,34,18966,-12.3505730695253
"dPB134","C05","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_16S",2,"DNA1",2.389214516,21688,44,21644,-12.3505730695253
"dPB134","C09","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_16S",3,"DNA1",1.937286139,21880,36,21844,-12.3505730695253
"dPB134","C01","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",1.673015594,19000,27,18973,-12.3505730695253
"dPB134","C05","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",1.954450846,21688,36,21652,-12.3505730695253
"dPB134","C09","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",1.668027759,21880,31,21849,-12.3505730695253
"dPB134","C01","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.74027522,19000,12,18988,-12.3505730695253
"dPB134","C05","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",1.298640206,21688,24,21664,-12.3505730695253
"dPB134","C09","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.911687415,21880,17,21863,-12.3505730695253
"dPB126","C01","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"Cytb monoplex","cytb",1,"DNA1",2.89607763290405,19523,48,19475,-12.3505730695253
"dPB126","C05","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"Cytb monoplex","cytb",2,"DNA1",2.47202086448669,19533,41,19492,-12.3505730695253
"dPB126","C09","52345-509",509,1,"Husbandry Area","Smith Root",0,"0 m",1446,1446,886,2.8,1,"Cytb monoplex","cytb",3,"DNA1",3.06712913513184,20740,54,20686,-12.3505730695253
"dPB134","D02","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_16S",1,"DNA1",4.065893173,21449,74,21375,-12.3505730695253
"dPB134","D06","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_16S",2,"DNA1",2.406240225,19577,40,19537,-12.3505730695253
"dPB134","D10","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_16S",3,"DNA1",2.858834267,19365,47,19318,-12.3505730695253
"dPB134","D02","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",2.415864229,21449,44,21405,-12.3505730695253
"dPB134","D06","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",1.804218531,19577,30,19547,-12.3505730695253
"dPB134","D10","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",2.310859919,19365,38,19327,-12.3505730695253
"dPB134","D02","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",1.308793541,21449,24,21425,-12.3505730695253
"dPB134","D06","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0.898077044,19577,15,19562,-12.3505730695253
"dPB134","D10","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",1.027636714,19365,17,19348,-12.3505730695253
"dPB126","D02","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"Cytb monoplex","cytb",1,"DNA1",2.68294429779053,18877,43,18834,-12.3505730695253
"dPB126","D06","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"Cytb monoplex","cytb",2,"DNA1",3.09204864501953,22097,58,22039,-12.3505730695253
"dPB126","D10","52345-510",510,2,"Husbandry Area","Smith Root",0,"0 m",1500,1500,900,2.8,1,"Cytb monoplex","cytb",3,"DNA1",3.0566201210022,21582,56,21526,-12.3505730695253
"dPB134","E04","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_16S",1,"DNA1",4.769814968,21502,87,21415,-12.3505730695253
"dPB134","E08","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_16S",2,"DNA1",4.743839264,20377,82,20295,-12.3505730695253
"dPB134","E12","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_16S",3,"DNA1",4.633276939,17046,67,16979,-12.3505730695253
"dPB134","E04","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",3.506947994,21502,64,21438,-12.3505730695253
"dPB134","E08","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",2.716689587,20377,47,20330,-12.3505730695253
"dPB134","E12","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",3.663620472,17046,53,16993,-12.3505730695253
"dPB134","E04","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",1.847573598,21502,34,21468,-12.3505730695253
"dPB134","E08","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",1.548950447,20377,27,20350,-12.3505730695253
"dPB134","E12","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",2.127083513,17046,31,17015,-12.3505730695253
"dPB127","E02","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"Cytb monoplex","cytb",1,"DNA1",4.23359441757202,21436,77,21359,-12.3505730695253
"dPB127","E06","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"Cytb monoplex","cytb",2,"DNA1",2.88761258125305,20396,50,20346,-12.3505730695253
"dPB127","E10","52345-511",511,3,"Husbandry Area","Smith Root",0,"0 m",1508,1514,908,2.8,1,"Cytb monoplex","cytb",3,"DNA1",4.75541067123413,21567,87,21480,-12.3505730695253
"dPB134","B03","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_16S",1,"DNA1",2.733041048,22841,53,22788,-12.3505730695253
"dPB134","B07","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_16S",2,"DNA1",3.134293556,20672,55,20617,-12.3505730695253
"dPB134","B11","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_16S",3,"DNA1",2.676192045,20685,47,20638,-12.3505730695253
"dPB134","B03","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",2.423321247,22841,47,22794,-12.3505730695253
"dPB134","B07","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",2.449734926,20672,43,20629,-12.3505730695253
"dPB134","B11","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",1.821426511,20685,32,20653,-12.3505730695253
"dPB134","B03","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.818779033,22841,16,22825,-12.3505730695253
"dPB134","B07","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",1.417124903,20672,25,20647,-12.3505730695253
"dPB134","B11","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"DL/16S duplex","Tt_longFrag",3,"DNA1",0.73547649,20685,13,20672,-12.3505730695253
"dPB127","B01","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"Cytb monoplex","cytb",1,"DNA1",3.23910212516785,20004,55,19949,-12.3505730695253
"dPB127","B05","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"Cytb monoplex","cytb",2,"DNA1",2.64007663726807,22306,50,22256,-12.3505730695253
"dPB127","B09","52345-512",512,1,"Husbandry Area","Smith Root",0,"0 m",1617,1622,977,2.8,1,"Cytb monoplex","cytb",3,"DNA1",3.53173780441284,19016,57,18959,-12.3505730695253
"dPB133","G03","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_16S",1,"DNA1",1.782572508,21796,33,21763,-12.3505730695253
"dPB133","G07","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_16S",2,"DNA1",2.367938757,22380,45,22335,-12.3505730695253
"dPB133","G11","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_16S",3,"DNA1",2.437851906,22705,47,22658,-12.3505730695253
"dPB133","G03","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_DLL1",1,"DNA1",1.1340518,21796,21,21775,-12.3505730695253
"dPB133","G07","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_DLL1",2,"DNA1",2.104598999,22380,40,22340,-12.3505730695253
"dPB133","G11","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_DLL1",3,"DNA1",1.399850488,22705,27,22678,-12.3505730695253
"dPB133","G03","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_longFrag",1,"DNA1",0.538171348,21796,10,21786,-12.3505730695253
"dPB133","G07","52345-513",513,2,"Husbandry Area","Smith Root",0,"0 m",1628,1633,988,2.8,1,"DL/16S duplex","Tt_longFrag",2,"DNA1",0.942372336,22380,18,22362,-12.3505730695253
