"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C[1]",7.44039536886564,0.0134314919032882,1.43060930610726,4.6861881816881,6.46744745370004,7.42111380479773,8.39239594796344,10.2751965654751,11344.7147983499,1.00055013180355
"C[2]",5.52953775296075,0.00897630830386918,0.90457633794515,3.7635524814048,4.91388252687192,5.53009926940018,6.13534560881684,7.32803795436801,10155.3506875861,0.999998952031247
"C[3]",7.23218771846486,0.0174072631417821,1.52662283135122,4.19791499337268,6.22154228009921,7.2505036697135,8.25206437640138,10.2009010788419,7691.34898465767,1.0000579623296
"C[4]",6.10446841510412,0.0116572634469979,1.27533051296709,3.60753545990705,5.25016615553533,6.09269867022004,6.97171359578283,8.61275133956642,11968.845980068,0.999994932774197
"C[5]",4.2791467506486,0.00837355391003178,0.786797057169205,2.7711761160737,3.73602362034907,4.26515013562152,4.81271013897798,5.85901846569326,8828.88403115723,1.00010422799218
"C[6]",5.80769910420396,0.0122789963705601,1.25528193591834,3.38959142254383,4.96412040577686,5.79408436647852,6.64566610734795,8.30864992961633,10450.9751804812,0.99985811403004
"C[7]",5.09451255515553,0.0099235801766175,1.01099935179478,3.27924831505721,4.36649849192984,5.05752987626943,5.77070429576489,7.14617793829087,10379.2264784337,0.999826002322173
"C[8]",6.83382399460154,0.0160345711949088,1.56902893505086,3.79077145229575,5.78148841143492,6.81852464491623,7.87557672165066,9.97111950522516,9575.18568568694,1.00036444451031
"C[9]",7.78931898346584,0.0127892700395556,1.42794321688212,5.01748492298606,6.79984992869258,7.77596938279864,8.7646144792803,10.6219517201092,12466.0929498874,0.999856844065431
"C[10]",6.8345086748091,0.0162336111059985,1.53654904103901,3.7817939058479,5.81669913034114,6.83237739344272,7.85728440094342,9.82832070037637,8959.06270615779,1.00065871037243
"C[11]",3.85019034760339,0.00771232410083876,0.71980947005197,2.59369940339264,3.32916711801318,3.8189689468132,4.32821908083706,5.3386671206289,8710.93089076443,0.99976363281037
"C[12]",7.79625650570441,0.0064273361903705,0.709788895416273,6.41309198997898,7.31704962450948,7.79906912879074,8.26999082448937,9.1903790031435,12195.4089298813,1.0000278373069
"C[13]",6.61055198092036,0.00659386368889812,0.692062373549994,5.27728640521797,6.14148378429742,6.60356093069103,7.07401501344573,7.98499965353386,11015.6605822959,0.999860049450638
"C[14]",6.95891665964578,0.00714434676708491,0.68499746702478,5.59978297419135,6.5035356960945,6.95844067275392,7.40919917555161,8.30860670830291,9192.90727118654,1.00002442541782
"C[15]",4.73562530595258,0.00511325570790743,0.482494136764398,3.89685167061479,4.37991663434186,4.71274295955678,5.05776672157209,5.73615288385804,8904.08006995433,1.00015293339739
"C[16]",6.5789801074937,0.00656150530828075,0.722050446523645,5.17189372467554,6.08783623690558,6.58426703083387,7.06391991243848,7.99255858202991,12109.5530124491,0.999757736061019
"C[17]",6.94919520871093,0.00656715370464975,0.699554705944513,5.60440431308073,6.45782278874555,6.94580939881035,7.4190200275308,8.31887132450243,11347.2076592017,1.00026634282102
"C[18]",7.10551733924356,0.00632733347421388,0.682758504763109,5.77121220565747,6.64361143879186,7.10089957613951,7.57095703662644,8.4501102103972,11643.7477742788,1.00008193451689
