"grab_id","obs_i","station","depth","mean_time_min","n_samples","samples_in_grab","t_med","t_lo95","t_hi95"
"NOAA Boat_Smith Root_0_5",1,"NOAA Boat",0,932.5,3,"52345-633; 52345-634; 52345-635",53.2019659274282,29.2147517087501,78.3291016276363
"NOAA Boat_Ascension G_11_1",2,"NOAA Boat",11,750.555555555556,3,"52345-651; 52345-652; 52345-653",22.3479551621314,9.63137423472449,35.3723451125359
"NOAA Boat_Smith Root_0_4",3,"NOAA Boat",0,870,1,"52345-630",48.4709770967201,21.0799450223852,75.9336898455263
"NOAA Boat_Smith Root_0_3",4,"NOAA Boat",0,810,2,"52345-625; 52345-626",34.3176895752655,15.2653296999722,53.6571870877796
"NOAA Boat_Smith Root_0_2",5,"NOAA Boat",0,750.666666666667,3,"52345-622; 52345-623; 52345-624",13.5148700836617,3.70325505041049,24.1598677241437
"NOAA Boat_Smith Root_0_6",6,"NOAA Boat",0,989,2,"52345-637; 52345-638",33.2098926492969,15.7653931687172,51.9319133243369
"NOAA Boat_Ascension G_18_1",7,"NOAA Boat",18,672,1,"52345-647",13.9769276246677,2.18882939750339,27.8684737781738
"NOAA Boat_Smith Root_0_1",8,"NOAA Boat",0,692,1,"52345-620",35.140127945586,15.3491868333112,55.4741184848554
"NOAA Boat_Ascension G_30_1",9,"NOAA Boat",30,687,1,"52345-648",51.2429728317221,28.0742107098998,75.8157423620106
"NOAA Boat_Ascension G_18_2",10,"NOAA Boat",18,841,1,"52345-659",33.8263926702253,14.2633018367904,53.4794501549045
"Husbandry Area_Pufferfish_2_3",11,"Husbandry Area",2,754,3,"52345-537; 52345-538; 52345-539",9.33869593037159,1.26960586218287,19.6477989589345
"Husbandry Area_Pufferfish_2_5",12,"Husbandry Area",2,839,3,"52345-543; 52345-544; 52345-545",19.670912689803,11.0150254068476,28.3430485011261
"Husbandry Area_Smith Root_0_2",13,"Husbandry Area",0,836.266666666667,3,"52345-505; 52345-506; 52345-507",15.2005267505295,6.93263639035044,23.6034792902838
"Husbandry Area_Smith Root_0_1",14,"Husbandry Area",0,738,3,"52345-502; 52345-503; 52345-504",11.9028734159222,3.53485609154431,20.1124172199276
"Husbandry Area_Pufferfish_2_11",15,"Husbandry Area",2,1012.44444444444,6,"52345-561; 52345-562; 52345-563; 52345-564; 52345-565; 52345-566",5.86515613005754,0.769808936356869,12.3371585163825
"Husbandry Area_Pufferfish_2_6",16,"Husbandry Area",2,867,3,"52345-546; 52345-547; 52345-548",16.7297979277916,7.88423102785044,25.5067979307144
"Husbandry Area_Pufferfish_2_8",17,"Husbandry Area",2,920,3,"52345-552; 52345-553; 52345-554",12.9300967177527,4.64308630221224,21.3399879130857
"Husbandry Area_Pufferfish_2_9",18,"Husbandry Area",2,958,3,"52345-555; 52345-556; 52345-557",15.0222011346186,7.01692489180903,23.229620775448
"Husbandry Area_Pufferfish_2_2",19,"Husbandry Area",2,720,3,"52345-534; 52345-535; 52345-536",11.9168209603251,3.60394735996564,20.5110917096496
"Husbandry Area_Pufferfish_2_10",20,"Husbandry Area",2,985,3,"52345-558; 52345-559; 52345-560",9.26066227875164,1.58790169077561,17.8191780968477
"Husbandry Area_Pufferfish_2_4",21,"Husbandry Area",2,780,3,"52345-540; 52345-541; 52345-542",14.9955188677877,6.80868981622406,23.5551272261441
"Husbandry Area_Pufferfish_2_1",22,"Husbandry Area",2,690,3,"52345-531; 52345-532; 52345-533",9.82364000686616,2.08308164337895,18.452929973382
"Husbandry Area_Smith Root_0_6",23,"Husbandry Area",0,988,1,"52345-513",11.6772028896879,1.39257995454479,24.2514552947734
"Husbandry Area_Smith Root_0_3",24,"Husbandry Area",0,886,1,"52345-509",9.74082794627299,0.910819172971466,21.7735741704369
"Husbandry Area_Smith Root_0_7",25,"Husbandry Area",0,999,1,"52345-514",10.5855509335966,1.04918326484236,23.1735518941157
"Husbandry Area_Smith Root_0_4",26,"Husbandry Area",0,905.090909090909,2,"52345-510; 52345-511",6.85899273456213,0.568576200525494,16.1091794090148
"Husbandry Area_Pufferfish_2_7",27,"Husbandry Area",2,896,3,"52345-549; 52345-550; 52345-551",18.3376174098181,9.73418220313364,26.8840185116484
"Husbandry Area_Smith Root_0_5",28,"Husbandry Area",0,977,1,"52345-512",13.5436170799269,2.40425955330979,25.8578855179253
