"obs_i","station","rho","t_med","t_lo95","t_hi95"
1,"NOAA Boat",-0.45,14.340000491516,8.30136723851834,20.6898283133679
2,"NOAA Boat",-0.45,11.6276551722523,6.13845967949235,17.0443497545151
3,"NOAA Boat",-0.45,13.5811123033414,6.84811659476611,19.9474726695929
4,"NOAA Boat",-0.45,13.1250228946084,7.11636799655176,19.0453766989826
5,"NOAA Boat",-0.45,10.1125419504325,4.938370370614,15.3142034375436
6,"NOAA Boat",-0.45,13.3335552328213,7.36228562304027,19.2276036518014
7,"NOAA Boat",-0.45,8.91902316822719,3.38511517582051,14.6954626834594
8,"NOAA Boat",-0.45,12.691638854649,6.60044184771731,18.7941227825324
9,"NOAA Boat",-0.45,14.0340391115087,8.01011389885472,20.0827666529153
10,"NOAA Boat",-0.45,12.3969444747668,6.22076449000794,18.292603560002
11,"Husbandry Area",-0.45,8.77883590324756,3.48936183475777,13.9855605404683
12,"Husbandry Area",-0.45,10.3248439696431,5.43656899508932,15.2793417271532
13,"Husbandry Area",-0.45,9.33276708581514,4.39237435747134,14.0810851283359
14,"Husbandry Area",-0.45,7.44862780161579,2.690085005124,12.4060948986282
15,"Husbandry Area",-0.45,6.24321265861397,2.0216858259129,10.5552578554835
16,"Husbandry Area",-0.45,10.0060859322118,5.07684126439756,15.0067196986644
17,"Husbandry Area",-0.45,7.9643717512469,3.07382654918759,12.9067063962891
18,"Husbandry Area",-0.45,9.03327407248299,4.36483204841057,13.8766738618612
19,"Husbandry Area",-0.45,7.53506478944055,2.64394820697583,12.39654339577
20,"Husbandry Area",-0.45,5.99261716719468,1.18607856646939,10.8575720006092
21,"Husbandry Area",-0.45,8.97055333661663,4.19608799544478,13.9838876212228
22,"Husbandry Area",-0.45,5.66655506515325,1.14511685351822,10.515921437552
23,"Husbandry Area",-0.45,6.15067423536839,1.18255173092255,11.5486719769065
24,"Husbandry Area",-0.45,5.66194055089547,0.885190455940139,10.9017500446574
25,"Husbandry Area",-0.45,7.09575546492538,1.7425702807724,12.3470856018597
26,"Husbandry Area",-0.45,5.01393042983255,0.573977286286607,10.0150092916604
27,"Husbandry Area",-0.45,10.5378059060218,5.68549410644125,15.2375197461117
28,"Husbandry Area",-0.45,6.72072672415695,1.59646020051053,12.1757972592238
