"grab_id","obs_i","station","depth","mean_time_min","n_samples","samples_in_grab","t_med","t_lo95","t_hi95"
"Husbandry Area_Smith Root_0_1",1,"Husbandry Area",0,738,3,"52345-502; 52345-503; 52345-504",4.79571226562213,0.243555596462151,15.1734189877246
"Husbandry Area_Smith Root_0_2",2,"Husbandry Area",0,836.333333333333,3,"52345-505; 52345-506; 52345-507",7.82556495415728,0.509616025235485,20.6330803604034
"Husbandry Area_Smith Root_0_3",3,"Husbandry Area",0,886,1,"52345-509",7.22107759576829,0.358210970779554,21.9139557015724
"Husbandry Area_Smith Root_0_4",4,"Husbandry Area",0,904,2,"52345-510; 52345-511",4.05379928337572,0.161273680883472,14.7865802668974
"Husbandry Area_Smith Root_0_5",5,"Husbandry Area",0,977,1,"52345-512",7.11951033571036,0.376159960063443,21.6567816474362
"Husbandry Area_Smith Root_0_6",6,"Husbandry Area",0,988,1,"52345-513",8.07046944949864,0.399361476278472,23.2102619458295
"Husbandry Area_Smith Root_0_7",7,"Husbandry Area",0,999,1,"52345-514",9.29058904446639,0.589274695495544,24.300113303794
"Husbandry Area_Pufferfish_2_1",8,"Husbandry Area",2,690,3,"52345-531; 52345-532; 52345-533",3.85404133858489,0.155001879414693,13.4396693408171
"Husbandry Area_Pufferfish_2_2",9,"Husbandry Area",2,720,3,"52345-534; 52345-535; 52345-536",4.94933175550451,0.211847763025498,15.8493391812789
"Husbandry Area_Pufferfish_2_3",10,"Husbandry Area",2,754,3,"52345-537; 52345-538; 52345-539",19.117502488811,4.77838338150228,34.666347695302
"Husbandry Area_Pufferfish_2_4",11,"Husbandry Area",2,780,3,"52345-540; 52345-541; 52345-542",6.19652886321958,0.356991829204043,17.8920954548957
"Husbandry Area_Pufferfish_2_5",12,"Husbandry Area",2,839,3,"52345-543; 52345-544; 52345-545",10.2224101226745,0.899327375605358,22.951895810015
"Husbandry Area_Pufferfish_2_6",13,"Husbandry Area",2,867,3,"52345-546; 52345-547; 52345-548",10.2855098612193,0.983930113431185,23.643185792057
"Husbandry Area_Pufferfish_2_7",14,"Husbandry Area",2,896,3,"52345-549; 52345-550; 52345-551",10.1625618060666,0.885368384548893,22.9856770654822
"Husbandry Area_Pufferfish_2_8",15,"Husbandry Area",2,920,3,"52345-552; 52345-553; 52345-554",4.31320832433588,0.199965364242564,14.905047488272
"Husbandry Area_Pufferfish_2_9",16,"Husbandry Area",2,958,3,"52345-555; 52345-556; 52345-557",4.12037663378463,0.191976637133671,14.3018744244927
"Husbandry Area_Pufferfish_2_10",17,"Husbandry Area",2,985,3,"52345-558; 52345-559; 52345-560",4.27276895968082,0.182411527290193,14.7572753331543
"Husbandry Area_Pufferfish_2_11",18,"Husbandry Area",2,1013,6,"52345-561; 52345-562; 52345-563; 52345-564; 52345-565; 52345-566",4.21618607906656,0.171247112744661,13.6755562908502
"NOAA Boat_Smith Root_0_1",19,"NOAA Boat",0,692,1,"52345-620",40.8219202107499,18.1405805665079,65.214482274541
"NOAA Boat_Smith Root_0_2",20,"NOAA Boat",0,750.666666666667,3,"52345-622; 52345-623; 52345-624",22.8339720810089,7.65155415810292,38.6984180842619
"NOAA Boat_Smith Root_0_3",21,"NOAA Boat",0,810,2,"52345-625; 52345-626",42.523369337745,19.5045544420498,65.9153280087541
"NOAA Boat_Smith Root_0_4",22,"NOAA Boat",0,870,1,"52345-630",45.7888397181807,16.7653816859412,75.3253481312531
"NOAA Boat_Smith Root_0_5",23,"NOAA Boat",0,932.5,3,"52345-633; 52345-634; 52345-635",50.5571202560207,26.3601464253471,76.0740190062667
"NOAA Boat_Smith Root_0_6",24,"NOAA Boat",0,989,2,"52345-637; 52345-638",42.7632463439065,21.1413141308556,65.825707107897
"NOAA Boat_Ascension G_18_1",25,"NOAA Boat",18,672,1,"52345-647",20.4610593903847,3.29129626261889,39.7313332961057
"NOAA Boat_Ascension G_30_1",26,"NOAA Boat",30,687,1,"52345-648",46.5092565026459,22.9348509347994,71.2271598053239
"NOAA Boat_Ascension G_11_1",27,"NOAA Boat",11,750.555555555556,3,"52345-651; 52345-652; 52345-653",32.2556282334796,14.6222640687357,50.8609957596722
"NOAA Boat_Ascension G_18_2",28,"NOAA Boat",18,841,1,"52345-659",38.9065573107379,16.61257841237,62.5405688050585
