"obs_i","station","rho","t_med","t_lo95","t_hi95"
1,"Husbandry Area",-0.45,3.04002014985779,0.146757359151586,7.84061468086219
2,"Husbandry Area",-0.45,4.59099512520183,0.534959904642618,9.94062356278079
3,"Husbandry Area",-0.45,3.33658843518633,0.207229378690215,8.63646555853481
4,"Husbandry Area",-0.45,2.41004418562339,0.12069246842349,7.1903179604133
5,"Husbandry Area",-0.45,3.17789512047244,0.205672126679834,8.32431090719375
6,"Husbandry Area",-0.45,3.56579612666568,0.23978626713743,9.01870435872151
7,"Husbandry Area",-0.45,4.6019110933626,0.498681344554501,10.2680140448856
8,"Husbandry Area",-0.45,2.1453765184853,0.101659076802715,6.60862912009171
9,"Husbandry Area",-0.45,3.23494996323763,0.212315660621857,8.27168134823164
10,"Husbandry Area",-0.45,9.07847451578351,3.39476227775755,14.8498090310652
11,"Husbandry Area",-0.45,3.90466317184121,0.359178507078752,8.96609851380996
12,"Husbandry Area",-0.45,4.79040645950155,0.553246878504963,9.99224526921201
13,"Husbandry Area",-0.45,5.35726064658365,0.783762651234137,10.9878509311959
14,"Husbandry Area",-0.45,5.24904505454397,0.783091230085207,10.6609983437264
15,"Husbandry Area",-0.45,2.77505344276119,0.187759136004555,7.76185851270649
16,"Husbandry Area",-0.45,2.78773592541922,0.138893817746882,7.60348197429835
17,"Husbandry Area",-0.45,2.53209922533463,0.12531226585777,7.3277392433975
18,"Husbandry Area",-0.45,3.89939421067563,0.299181043994106,8.8562839724872
19,"NOAA Boat",-0.45,14.5055888703122,7.51556035167153,22.0721908544321
20,"NOAA Boat",-0.45,9.986419220566,4.17090312855018,15.6418371472128
21,"NOAA Boat",-0.45,13.1728053689507,7.02637858525941,19.495040939522
22,"NOAA Boat",-0.45,14.0821243352112,6.79082934908671,22.1505393787649
23,"NOAA Boat",-0.45,14.4109985248339,8.1300331572882,21.0777893785193
24,"NOAA Boat",-0.45,13.996858331835,7.66311115900471,20.3641989209658
25,"NOAA Boat",-0.45,8.19438177193097,2.22778680458049,14.1754412399536
26,"NOAA Boat",-0.45,13.5697348963808,7.12614656569846,20.3829369001453
27,"NOAA Boat",-0.45,10.8142342542001,5.04501625110892,16.5823470730996
28,"NOAA Boat",-0.45,13.8536987496348,7.18929033225023,21.5191179618726
