"sample","obs_i","t_med","t_lo95","t_hi95"
"52345-502",1,1.64213776023495,0.0467736116554734,6.63125242768268
"52345-503",2,2.1803838039197,0.106184058632906,8.12229922632287
"52345-504",3,2.01998563914769,0.0856076750340335,8.22820101212603
"52345-505",4,5.95051284397624,0.378434868387503,15.2640761019401
"52345-506",5,1.60001975237443,0.0584638361968674,7.15026615259176
"52345-507",6,9.32073206511132,0.99664767245228,20.2503021123804
"52345-509",7,1.14135452627638,0.0433960380281447,5.19415444103426
"52345-510",8,1.01704801689135,0.038681427099596,4.76368658904882
"52345-511",9,0.763738081690851,0.0302598206673119,3.71077082485206
"52345-512",10,1.10424232961324,0.0387408839586446,5.13384428099205
"52345-513",11,1.51697762549916,0.0630461668364126,6.66390693413913
"52345-514",12,1.61758144478964,0.0593586285339817,7.06315749505973
"52345-531",13,1.32316540366539,0.049978110032676,5.70718023996994
"52345-532",14,1.28594550683304,0.0473539027180142,5.60845997090445
"52345-533",15,1.59615059550266,0.0587642490967346,6.96117469300154
"52345-534",16,1.73134225988793,0.0852381926345221,6.65457964357727
"52345-535",17,3.28191435777281,0.124145468076435,10.9487200355826
"52345-536",18,1.42112911231023,0.047982231872565,6.27356561213077
"52345-537",19,13.3843094772625,1.37891070321879,29.3950469213905
"52345-538",20,21.8700682858079,7.30417243150534,37.4334047827325
"52345-539",21,22.2666190130248,5.3776269183917,41.5481389753763
"52345-540",22,2.3129813030145,0.0926272323008554,9.17516364011722
"52345-541",23,2.92120732446013,0.127094539003743,9.92358938881753
"52345-542",24,3.61595708737214,0.156536567471275,11.7182077653812
"52345-543",25,3.76069611101315,0.167711612872673,12.0793888368895
"52345-544",26,4.21988429365236,0.227429819369334,12.3398446459786
"52345-545",27,10.567515530378,2.50342437666619,19.1676726071612
"52345-546",28,7.97927151599252,1.18547289627377,17.0019889470763
"52345-547",29,5.25056067686953,0.303270386506302,14.7749415316305
"52345-548",30,7.85915374794836,0.560729926171325,19.7227423515114
"52345-549",31,10.3897659947511,1.3406690076285,21.2595659707415
"52345-550",32,7.39322301528658,0.837291373303145,17.5555327760683
"52345-551",33,4.58277428634317,0.235776249322435,12.6892298106243
"52345-552",34,1.51662319054406,0.0790373424084513,6.36751504732363
"52345-553",35,2.0443002481726,0.0903724739779777,7.84807164621067
"52345-554",36,1.23528812386863,0.0459577560042082,5.72647054568593
"52345-555",37,2.38205633111465,0.104135606662125,8.64589270029581
"52345-556",38,1.39241846227029,0.0511614123174358,5.99678893643058
"52345-557",39,1.13856547004531,0.0387775715074921,5.35064158821295
"52345-558",40,3.07357624395827,0.161424628355102,10.0443689511882
"52345-559",41,1.29570254745623,0.0521261696775002,5.76804044454464
"52345-560",42,1.11575737776729,0.0426855914856668,4.96811999701512
"52345-561",43,2.88963252807842,0.129098830952073,10.6281660086281
"52345-562",44,2.30924477788325,0.0797807610860024,8.71060105111537
"52345-563",45,3.54047776843821,0.202514024607252,11.9219523814011
"52345-564",46,9.23440240964784,1.01254046868007,21.2554341507258
"52345-565",47,28.1862352497911,10.2087294412402,47.9684815934075
"52345-566",48,3.51391722415557,0.182856809081014,12.1065986946186
"52345-620",49,46.8694364274765,21.0232686309181,76.9795413850939
"52345-622",50,23.6960659606268,7.86263107457633,40.7731874172566
"52345-623",51,17.3241649457396,2.08503249608617,32.7915215388891
"52345-624",52,40.0714547514778,17.494982568851,65.1669009583876
"52345-625",53,47.9015144223871,22.7305789193108,75.2696124477286
"52345-626",54,53.2169424348678,23.9683827645665,82.2039738563231
"52345-630",55,57.8988668251649,27.9480599521033,89.2861400648296
"52345-633",56,57.6811351974443,27.2642184938344,90.5285948792588
"52345-634",57,57.6566231500762,27.8457005587718,90.5389237464496
"52345-635",58,59.7315163547569,32.1036230183364,92.2022518875022
"52345-637",59,44.7202903773622,19.2678229032626,71.62112144727
"52345-638",60,59.269344513467,30.4348984554599,91.2455106348993
"52345-647",61,15.5226006399407,2.4127859920954,33.1593783213421
"52345-648",62,53.5046529440955,26.9123694718563,81.2493516151432
"52345-651",63,38.3826457845697,17.3417204493954,61.0425145031353
"52345-652",64,35.6428383813033,9.32373327765277,65.2223533736192
"52345-653",65,27.7802760850951,8.62268998727248,47.7923753387437
"52345-659",66,44.7434471172955,18.5408053292841,73.2835154489267
