"parameter","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"C[1]",7.48865580295514,0.0073347415069798,0.310580150608024,7.04549686003042,7.42739297479292,8.25049793404909,1792.98958387765,1.00024251428823
"C[2]",6.72219733599065,0.00803008172985771,0.366917925038542,6.1858046495678,6.65112173495944,7.60218487320881,2087.84342706064,1.00172496527194
"C[3]",6.68125831711498,0.00818081741502126,0.37342604573672,6.14777778100882,6.60347088168737,7.60806800164972,2083.60701983098,1.00042930773029
"C[4]",6.5620512811535,0.0142102933950519,0.630397387034535,5.58589154095806,6.49703612365835,7.93987477921833,1967.98923828677,1.00081952235954
"C[5]",6.61602205401758,0.00690950256551966,0.331216983185849,6.13747611588347,6.55051756721432,7.43168249579467,2297.90266872053,0.999934134439126
"C[6]",6.45511032188286,0.016653613497599,0.775197949893726,5.12914159822236,6.40552445063732,8.05725789631082,2166.74732271139,0.999934029096275
"C[7]",7.00417711833022,0.00648661868850865,0.258018792292454,6.61736822141575,6.96014336394316,7.62374297346385,1582.21660585546,1.00094865392779
"C[8]",7.150259142412,0.00551432721392324,0.238622955092602,6.78045367904992,7.11263905551409,7.72359386703285,1872.57565630134,1.00041722753242
"C[9]",7.53564141674332,0.00540032844139351,0.203809580580329,7.20331906256886,7.51058493821487,8.01846625038496,1424.32416553272,1.00019999516927
"C[10]",7.15433473020602,0.00607537832785989,0.252823186814929,6.77056562382034,7.11298494477104,7.77928238344087,1731.75777949782,1.00243345217091
"C[11]",6.90947457088348,0.00768553677859124,0.319372612519757,6.4551302401951,6.84286837905993,7.69198326976014,1726.81944902229,1.00034684459186
"C[12]",5.81817061349509,0.00607473479803571,0.32135589507652,5.3364764991477,5.76142056445612,6.59566761378593,2798.45222204418,0.999853969450246
"C[13]",8.29322728227141,0.00742782104095104,0.281357036098031,7.89276450965741,8.23448071313549,8.98088466919291,1434.80439157757,1.00096816769928
"C[14]",8.15528475488724,0.00697582732618786,0.270577340427057,7.75775717318346,8.10523505468942,8.81384759279382,1504.49726839978,1.00387956631324
"C[15]",7.86716504817291,0.0078200414839683,0.322844767610987,7.40983509960886,7.80462412648032,8.66744474209819,1704.39162070148,1.00207683525679
"C[16]",7.58660591326299,0.00800163773666055,0.317712907081059,7.12069118224337,7.52318466631386,8.32828075377147,1576.56523622347,1.00069731908872
"C[17]",6.49291285991591,0.0109930158923658,0.489456055445868,5.78485518628345,6.40083878388104,7.61528409566252,1982.41100574816,1.00147758629685
"C[18]",6.36789003044757,0.00652009781839982,0.302318459251592,5.9172315564646,6.31293963040588,7.09274183821944,2149.9141023513,1.00229399325819
"C[19]",5.18658273119557,0.0179806387312753,1.07461929052534,3.30267510041677,5.14360917755008,7.44878251069523,3571.89788179932,1.00040629930681
"C[20]",6.94254305805747,0.0185814741365643,1.08098737014095,4.80556493632023,6.91640195244557,9.09111683352675,3384.3939442692,1.00092863245773
"C[21]",5.90575709523289,0.0226757798332113,1.27778812730725,3.47942060554123,5.90332375512915,8.41158040297077,3175.36193112102,1.00045820602494
"C[22]",6.39017341833693,0.0088905159288806,0.411587215165189,5.81702771296325,6.30797350439453,7.41152412941885,2143.23515076842,1.00115209070493
"C[23]",7.11134244204686,0.0100626848026491,0.440374221723739,6.46561077750226,7.03962181403568,8.14346214466738,1915.20840352469,1.00231659446479
"C[24]",6.29242207857311,0.0106277203409065,0.506032301390705,5.56709370915483,6.2068758970297,7.46005203348588,2267.12906222255,1.00562545201252
"C[25]",6.72051427348724,0.0114534053541639,0.516375604775541,5.9711274762191,6.63634918647878,7.94823454974024,2032.64796965145,1.00164111170934
"C[26]",6.4032909236446,0.0119162843137278,0.5276059071465,5.60757600050792,6.32590788164613,7.59255052563366,1960.36791293104,1.00019280267497
"C[27]",8.53814475158495,0.0187756603093841,0.688941168137876,7.25151876006027,8.5226809508337,9.89725911580666,1346.39917054297,1.00285591413763
"C[28]",8.01219945142985,0.015430473132927,0.654872377772855,6.89350976481813,7.98650059837011,9.3833014158236,1801.17064159233,1.00253988723149
"C[29]",5.85600212481137,0.0125137553217585,0.613770104418855,4.92972784156257,5.77387180608102,7.23744097702125,2405.67050628894,1.00048927907288
"C[30]",5.49190027952479,0.0150224870645487,0.783049816299165,4.2473078746819,5.42248184694877,7.21286857548252,2717.0342096848,1.00031068595664
"C[31]",6.58798754096478,0.0157818875268263,0.79397977132319,5.1982920873043,6.56567391141884,8.22867388090388,2531.05153334467,1.00037060994497
"C[32]",6.60728523500007,0.0157221678821365,0.685964254850236,5.49384367207511,6.53639447624542,8.08359887055804,1903.61059025602,1.00053683420027
"C[33]",6.95421634874419,0.012862705949133,0.542431450760472,6.13836872337855,6.88556925927373,8.15631404891336,1778.38195087584,1.00093267348793
"C[34]",6.15928421274292,0.00616209546699802,0.305925753825979,5.70588293871142,6.10571027517378,6.89687539010673,2464.76338025237,1.00084637144754
"C[35]",7.68254193624839,0.00924465942875451,0.353870770261491,7.1856804890553,7.61727845043707,8.54995369265291,1465.23589648887,1.00098607348534
"C[36]",7.23906685130788,0.00701166825461735,0.275282642995484,6.8314186220958,7.18852390210982,7.9134455338148,1541.39852346646,1.00218169102458
"C[37]",7.074500677351,0.00893012208873597,0.391202316930171,6.52023008245945,6.99951355789263,8.01077371837355,1919.05774824786,1.00200145986719
"C[38]",6.61988078548875,0.0067093611520246,0.287650951043059,6.19361787060649,6.56820311376981,7.31757688974113,1838.10065159161,1.00024133049144
"C[39]",7.13814489368919,0.00640472790652757,0.259394289562915,6.74973149373063,7.09091769975749,7.75447720279998,1640.28552976301,1.00028263719152
"C[40]",7.44100777774282,0.0111328815108668,0.447946322540566,6.80348032073774,7.35235163742293,8.49695890968841,1618.96245584236,1.00044629885526
"C[41]",7.71719557692059,0.00699416161262407,0.274977351500617,7.31521745078087,7.66993022400198,8.4005957098501,1545.69044704096,1.00401727952023
"C[42]",7.50339016495619,0.00571920114751778,0.24893637140834,7.12764094455805,7.45451201330207,8.08162652955025,1894.54954543804,1.00087653369198
"C[43]",5.67587390277568,0.00951160243776337,0.467076950101944,5.00439226115472,5.5889786966279,6.81422852986576,2411.40130928889,1.00086871589159
"C[44]",7.34237791800238,0.00940478660110369,0.395122342150207,6.78240937349077,7.26322802930056,8.28789062981349,1765.08361592579,1.0025610555782
"C[45]",5.99190017457708,0.0108443524211108,0.512080777171993,5.26163318651899,5.8994115415737,7.1746447117383,2229.81945756131,1.0007815160879
"C[46]",5.69462149110554,0.0152664287462325,0.81977879107961,4.34937069881338,5.62917054451365,7.45012412571829,2883.48997892148,1.00072390189407
"C[47]",6.74517652954471,0.021452765189852,1.28027027754484,4.23497211298237,6.73796406095592,9.31597364491332,3561.5313192649,1.00022166700201
"C[48]",5.84087426366439,0.010740412560615,0.513515722352425,5.1023457894305,5.749643006268,7.06324353829454,2285.94386993808,1.00163863384825
"C[49]",7.00201638672705,0.0281456490654818,1.63633312819211,3.74060749937612,7.01392967047761,10.1521735373719,3380.03275675548,0.999887114235267
"C[50]",6.63930192037956,0.0234334027240649,1.16872751704543,4.38030101503644,6.6345250256784,8.9441623517381,2487.45839843844,1.00038264188769
"C[51]",5.99617590461853,0.0277188733099885,1.10326726437789,3.81522762009748,5.99415707956291,8.14616142940186,1584.20112495228,1.00368627403067
"C[52]",7.3352589159294,0.0253052349993951,1.52375266526726,4.39235208997919,7.31495341637444,10.3204711198331,3625.83642021906,1.00117353420082
"C[53]",7.63060575910717,0.028486392162917,1.61685913134452,4.46859616586494,7.62275249081154,10.8016955595588,3221.58407529951,0.999998603721892
"C[54]",8.18477905852621,0.0296607109323874,1.65653954492106,4.91291698139418,8.19892735479509,11.4594290035738,3119.18046996509,0.999783042777952
"C[55]",8.10783931072597,0.0275753179758636,1.63783702037936,4.95077878426861,8.09330221216645,11.3433818640568,3527.77037248405,1.00032798244433
"C[56]",8.0416948850919,0.0310374591710269,1.69895196344596,4.72698010558834,8.03496854099201,11.3572762936664,2996.33161661815,1.0008736369336
"C[57]",8.10076014585249,0.0270647855779629,1.66396316038329,4.88823517624805,8.08705030699487,11.3294693901193,3779.88191391308,1.00120405347115
"C[58]",8.14557824744285,0.02872299224758,1.68067742344998,4.81218459891336,8.14995209892621,11.5025818536044,3423.80774841012,0.99996288449713
"C[59]",7.24678400134459,0.032510258461752,1.63129666928018,4.05163788833089,7.28167226264407,10.4433196135877,2517.82217692447,1.00003251341557
"C[60]",8.14851177425091,0.0289816103783179,1.67222702691827,4.94370479779764,8.12636443394392,11.3687816879635,3329.24264853837,1.00121219141252
"C[61]",6.06278220420491,0.0197138542462571,1.14647645067136,4.03331425580337,6.00474927934818,8.44795551796728,3382.10584042672,1.00102055678483
"C[62]",8.4476737387226,0.0264269434643068,1.62057502218098,5.31524519778408,8.44350888448768,11.5891186273041,3760.48976091204,1.00067290361642
"C[63]",8.00108177322332,0.0228173057129852,1.44482632738436,5.18491935840425,8.01580922840448,10.859595585777,4009.61404776433,1.00033318211726
"C[64]",8.42702708168856,0.0256357417563699,1.67395696515998,5.27626294713076,8.4129607835658,11.8118738139619,4263.79976633306,0.999704918913337
"C[65]",6.99303068697107,0.0276032234284603,1.34160887125146,4.33836729265065,7.00407015890768,9.61349103070222,2362.28472205802,1.00245592643158
"C[66]",7.07131962117855,0.0285599330289905,1.62032410623242,3.86866570045379,7.08671760269104,10.2628881622168,3218.76608761145,0.999871925862585
"sigma_tech",0.394987069330101,0.000585240098478074,0.0207950850234167,0.356155466358005,0.394386665579176,0.437086471685117,1262.56356206531,1.00354597521603
