"scenario","component","true","estimate","lo95","hi95","covered"
"distinct rates","sigma_bio",0.6,0.557063822280439,0.50176426876538,0.617299291578343,TRUE
"distinct rates","sigma_tech",0.11,0.0997959607949766,0.0888382970039403,0.111254617268804,TRUE
"actual rates","sigma_bio",0.6,0.52903788248629,0.475285488575017,0.590788839901853,FALSE
"actual rates","sigma_tech",0.11,0.104752350671838,0.0906202756070925,0.120730067232076,TRUE
"low biological variation","sigma_bio",0.1,0.063047594136024,0.0153109569680559,0.101820234494351,TRUE
"low biological variation","sigma_tech",0.11,0.134581446618207,0.114054477298956,0.155716590276045,FALSE
"observed biological variation","sigma_bio",0.6,0.580348195406163,0.50752741676402,0.660823430606459,TRUE
"observed biological variation","sigma_tech",0.11,0.110809349315756,0.0931631132539607,0.131382550103273,TRUE
"high biological variation","sigma_bio",1.2,1.20704358794096,1.0742041219407,1.35713062943878,TRUE
"high biological variation","sigma_tech",0.11,0.120912466943088,0.10265160569075,0.141849111935575,TRUE
"2 markers, similar rates","sigma_bio",0.6,0.496305326035582,0.425073596728424,0.580051805734841,FALSE
"2 markers, similar rates","sigma_tech",0.11,0.114404081596076,0.094908239793259,0.135889497204435,TRUE
"3 markers","sigma_bio",0.6,0.516287398875913,0.439710921651498,0.609107722832937,TRUE
"3 markers","sigma_tech",0.11,0.0992614259881681,0.0802631268680352,0.121126666405672,TRUE
"6 markers","sigma_bio",0.6,0.61560910605171,0.553341447577348,0.685380732882674,TRUE
"6 markers","sigma_tech",0.11,0.109705274669406,0.0966195590425797,0.124228207860656,TRUE
