"section","marker","ddPCR","simplified","difference","track","n","bias","mae","rmse","cover50","cover95","ci95_med","station","n_grabs","median_age","min_age","max_age","median_ci95","mean_difference","max_abs_difference","correlation","median_ci95_ddPCR","median_ci95_simplified","parameter","mean","lo95","hi95"
"decay rates","cytb","-0.118916499253815","-0.117330966881904","0.001585532371911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decay rates","Tt_16S","-0.161128070112715","-0.161478299722113","-0.000350229609398012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decay rates","Tt_DLL1","-0.177386579593338","-0.171728915207406","0.00565766438593202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decay rates","Tt_longFrag","-0.189234397658595","-0.170854974376758","0.018379423281837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carboy LOO",NA,NA,NA,NA,"ddPCR","18","-1.48199126287101","4.13899759704795","5.43654455216117","0.277777777777778","0.666666666666667","12.6673073769173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carboy LOO",NA,NA,NA,NA,"simplified","18","0.0241818554320903","3.40640970865932","4.32518429902099","0.5","0.777777777777778","18.3671589948681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"field grabs",NA,NA,NA,NA,"ddPCR",NA,NA,NA,NA,NA,NA,NA,"Husbandry Area","18","6.65801959946497","3.85404133858489","19.117502488811","18.8292839804298",NA,NA,NA,NA,NA,NA,NA,NA,NA
"field grabs",NA,NA,NA,NA,"ddPCR",NA,NA,NA,NA,NA,NA,NA,"NOAA Boat","10","41.6726447742475","20.4610593903847","50.5571202560207","46.1693819796964",NA,NA,NA,NA,NA,NA,NA,NA,NA
"field grabs",NA,NA,NA,NA,"simplified",NA,NA,NA,NA,NA,NA,NA,"Husbandry Area","18","9.06637228088323","5.1366210655162","12.9382793055832","22.3794602280077",NA,NA,NA,NA,NA,NA,NA,NA,NA
"field grabs",NA,NA,NA,NA,"simplified",NA,NA,NA,NA,NA,NA,NA,"NOAA Boat","10","28.0320702700189","16.2241761478472","45.4223580894376","38.7555303817112",NA,NA,NA,NA,NA,NA,NA,NA,NA
"field agreement",NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.84922570708555","13.8315769393177","0.966877034477477","22.3797821797796","25.7590873635746",NA,NA,NA,NA
"observation error",NA,NA,NA,NA,"ddPCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sigma_bio[1]","0.805106455033521","0.712126433598657","0.911847734110751"
"observation error",NA,NA,NA,NA,"ddPCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sigma_tech","0.0892351591650316","0.0561827550958331","0.120436803642139"
"observation error",NA,NA,NA,NA,"simplified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sigma_bio[1]","0.806858740516644","0.716939274594215","0.908881767388197"
"observation error",NA,NA,NA,NA,"simplified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sigma_tech","0.345126317413133","0.321765744791475","0.370680285926485"
