"grab_id","obs_i","station","depth","mean_time_min","n_samples","samples_in_grab","t_med","t_lo95","t_hi95"
"Husbandry Area_Smith Root_0_1",1,"Husbandry Area",0,738,3,"52345-502; 52345-503; 52345-504",6.71854773203709,0.386726691514111,19.8792006733985
"Husbandry Area_Smith Root_0_2",2,"Husbandry Area",0,836.333333333333,3,"52345-505; 52345-506; 52345-507",9.95574981662238,0.8103156911931,23.765749689419
"Husbandry Area_Smith Root_0_3",3,"Husbandry Area",0,886,1,"52345-509",9.90921405330916,0.576685163815322,26.0100755115113
"Husbandry Area_Smith Root_0_4",4,"Husbandry Area",0,904,2,"52345-510; 52345-511",5.74713289001833,0.251318489010493,18.9587131613394
"Husbandry Area_Smith Root_0_5",5,"Husbandry Area",0,977,1,"52345-512",9.56045482696901,0.534920612062153,26.5288222503705
"Husbandry Area_Smith Root_0_6",6,"Husbandry Area",0,988,1,"52345-513",10.7886213280125,0.684710762839597,27.7736537149125
"Husbandry Area_Smith Root_0_7",7,"Husbandry Area",0,999,1,"52345-514",12.9382793055832,1.09736926868635,29.8765478522951
"Husbandry Area_Pufferfish_2_1",8,"Husbandry Area",2,690,3,"52345-531; 52345-532; 52345-533",5.15886964966181,0.222803556578717,17.4261700707298
"Husbandry Area_Pufferfish_2_2",9,"Husbandry Area",2,720,3,"52345-534; 52345-535; 52345-536",6.86265738054357,0.380837067107935,19.7853734491757
"Husbandry Area_Pufferfish_2_3",10,"Husbandry Area",2,754,3,"52345-537; 52345-538; 52345-539",12.3359591165745,1.45939163091985,27.6578200408667
"Husbandry Area_Pufferfish_2_4",11,"Husbandry Area",2,780,3,"52345-540; 52345-541; 52345-542",8.57228973479745,0.542532026198942,22.3460184839884
"Husbandry Area_Pufferfish_2_5",12,"Husbandry Area",2,839,3,"52345-543; 52345-544; 52345-545",10.9879919444851,0.885601659686231,25.3396876504998
"Husbandry Area_Pufferfish_2_6",13,"Husbandry Area",2,867,3,"52345-546; 52345-547; 52345-548",11.2989441086307,0.887321594697974,26.3311596859453
"Husbandry Area_Pufferfish_2_7",14,"Husbandry Area",2,896,3,"52345-549; 52345-550; 52345-551",12.0853516844785,1.15658826937495,26.6808613582158
"Husbandry Area_Pufferfish_2_8",15,"Husbandry Area",2,920,3,"52345-552; 52345-553; 52345-554",6.12013744580508,0.305483999762722,19.671403778576
"Husbandry Area_Pufferfish_2_9",16,"Husbandry Area",2,958,3,"52345-555; 52345-556; 52345-557",6.38520341804382,0.337658002315129,19.2364843531624
"Husbandry Area_Pufferfish_2_10",17,"Husbandry Area",2,985,3,"52345-558; 52345-559; 52345-560",6.30437452857073,0.380755786164155,18.9571002940009
"Husbandry Area_Pufferfish_2_11",18,"Husbandry Area",2,1013,6,"52345-561; 52345-562; 52345-563; 52345-564; 52345-565; 52345-566",5.1366210655162,0.283145750176499,16.5056750338377
"NOAA Boat_Smith Root_0_1",19,"NOAA Boat",0,692,1,"52345-620",26.9903432714322,7.81866106448482,47.2991950921679
"NOAA Boat_Smith Root_0_2",20,"NOAA Boat",0,750.666666666667,3,"52345-622; 52345-623; 52345-624",16.2241761478472,2.71465775863956,32.2568807434815
"NOAA Boat_Smith Root_0_3",21,"NOAA Boat",0,810,2,"52345-625; 52345-626",33.0633098152237,13.1482278798669,53.8573909112362
"NOAA Boat_Smith Root_0_4",22,"NOAA Boat",0,870,1,"52345-630",42.6327699084057,15.3781421437948,69.7200483820692
"NOAA Boat_Smith Root_0_5",23,"NOAA Boat",0,932.5,3,"52345-633; 52345-634; 52345-635",45.4223580894376,20.4737423977017,69.873667065266
"NOAA Boat_Smith Root_0_6",24,"NOAA Boat",0,989,2,"52345-637; 52345-638",29.0737972686057,10.6618424868366,48.1989416430785
"NOAA Boat_Ascension G_18_1",25,"NOAA Boat",18,672,1,"52345-647",16.5615384336139,2.29452176134238,33.923184364149
"NOAA Boat_Ascension G_30_1",26,"NOAA Boat",30,687,1,"52345-648",44.0528431032614,20.6416595043153,69.5558963150057
"NOAA Boat_Ascension G_11_1",27,"NOAA Boat",11,750.555555555556,3,"52345-651; 52345-652; 52345-653",24.8058779866074,8.23456953010493,41.8068746387363
"NOAA Boat_Ascension G_18_2",28,"NOAA Boat",18,841,1,"52345-659",26.0363846939176,7.15156237032774,45.1820891060671
