"sample","obs_i","t_med","t_lo95","t_hi95"
"52345-502",1,3.16807130336496,0.122140532702903,11.5304791280344
"52345-503",2,3.5517721169579,0.150148573147066,12.3689004477227
"52345-504",3,3.59760181409023,0.187840921913706,12.2920911356617
"52345-505",4,7.36007592741226,0.553819398387264,18.287902816097
"52345-506",5,2.70554515103461,0.120493950749238,10.3963602953739
"52345-507",6,9.02709654968387,0.742038305955368,20.2226739166014
"52345-509",7,2.42273149771107,0.101146675395952,9.70474349564268
"52345-510",8,2.19087167920316,0.0830366180464574,8.81240768988471
"52345-511",9,1.71459036766306,0.0740602118352962,7.69641160511936
"52345-512",10,2.41834141076932,0.100519959189157,9.61973160609319
"52345-513",11,3.07385684997591,0.135448118483143,11.1815374051992
"52345-514",12,2.523318487849,0.0991688310727088,10.1669006181886
"52345-531",13,2.80477686954312,0.111932497999604,10.887903084831
"52345-532",14,2.8666918581766,0.10860966218446,10.680458669155
"52345-533",15,3.04338735047539,0.132516084354218,11.604040526448
"52345-534",16,3.52054627439536,0.195494786343821,12.5639432161309
"52345-535",17,4.6748388260836,0.234834300054955,14.5199302015512
"52345-536",18,2.5558588551619,0.103798560334738,10.1039729345563
"52345-537",19,2.84235582510901,0.119083535104584,11.1712777635469
"52345-538",20,15.5538032259582,3.86577938297727,28.6314685404872
"52345-539",21,5.65496107416114,0.311539911857673,17.2769497224635
"52345-540",22,3.54681338283832,0.140409183045311,12.2011821915881
"52345-541",23,4.59259881340899,0.1967360385789,15.0353932919333
"52345-542",24,5.7762362239224,0.314810227825264,16.0538895101586
"52345-543",25,5.69907076415556,0.270717256090348,15.6240394712983
"52345-544",26,5.33509231535241,0.250318704961037,15.4149588440644
"52345-545",27,9.19938994470284,0.898446386196687,21.2042672482825
"52345-546",28,10.415764900593,1.40104517898472,21.7756870023462
"52345-547",29,4.76941584544796,0.293513754199323,14.9785812009415
"52345-548",30,5.24706186219579,0.247770179164439,15.3415915628567
"52345-549",31,11.2907102047327,2.00500380667826,22.6091396203089
"52345-550",32,7.84168221012005,0.665062268175512,18.9592860508345
"52345-551",33,6.21174963779028,0.352433251672459,17.1050287656597
"52345-552",34,2.44639060596123,0.0989646854038903,10.4344823372146
"52345-553",35,3.72566880564496,0.163237199011445,13.0839441274822
"52345-554",36,2.65096097219232,0.0909299420324148,10.2169611708242
"52345-555",37,4.31461951412167,0.248979975980252,13.8861867852697
"52345-556",38,2.58141266497608,0.131030061823922,10.2780976288935
"52345-557",39,2.47098979205977,0.104580759668593,9.91938985272617
"52345-558",40,5.04525247860237,0.207440297788296,14.666684544454
"52345-559",41,2.95320429007369,0.12721414802635,11.1622750558293
"52345-560",42,2.53240744318221,0.0943996113903606,10.3657763173876
"52345-561",43,3.3165669945452,0.181902664626535,11.7392141016498
"52345-562",44,3.72102573174333,0.172137979529374,12.7047677336439
"52345-563",45,4.56467936338375,0.227893366053263,14.4097414506754
"52345-564",46,6.03698574560203,0.28083887672324,17.1344022764851
"52345-565",47,10.2214455841687,0.9217469863764,23.0363826529622
"52345-566",48,4.0070775008766,0.184723783310003,13.1806625143456
"52345-620",49,15.7228498836812,1.81970327440541,34.6397984703273
"52345-622",50,14.1014030940838,3.12307918895012,26.7078458580576
"52345-623",51,6.27419318312076,0.348604604346467,17.1293481627492
"52345-624",52,17.9614434184947,3.78011744967554,34.024480290756
"52345-625",53,24.3934174387616,7.28980648398289,42.539159965469
"52345-626",54,48.1565716858369,18.9541277333534,75.7496318033287
"52345-630",55,50.2190345070353,21.653403056436,79.6676105271356
"52345-633",56,50.4568204101005,22.2200737602007,79.4165754283452
"52345-634",57,50.6617939611096,21.1418349139059,79.3651018357009
"52345-635",58,52.4014663218463,26.722713248171,79.930013884117
"52345-637",59,14.918321544253,2.09142736162608,31.3061539831281
"52345-638",60,52.4445905210917,24.9413919558821,80.6319816827891
"52345-647",61,3.48696616713334,0.143310709729237,12.8156401872603
"52345-648",62,49.7346220613054,25.4519270642622,76.6652164764969
"52345-651",63,21.0518708247796,6.39448847498743,36.0539493541276
"52345-652",64,37.2726993431833,11.0056232015157,65.6146206248872
"52345-653",65,12.4760120749688,1.80533258887663,26.0150283843484
"52345-659",66,14.0007082178054,1.34419734393781,32.6864891624219
