"parameter","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"C[1]",7.72142318920906,0.00806331344230718,0.502685878327246,7.00045745631323,7.62346298169875,8.92869857280122,3886.56813262493,1.00132005688502
"C[2]",6.95207932295144,0.00878721366438146,0.535276956584513,6.19468283846367,6.84713280168569,8.20646065243024,3710.6904123036,0.999703441719714
"C[3]",6.91950435789932,0.00847059158296071,0.536053225210736,6.16130094207517,6.81963075435368,8.1785106174329,4004.8692503028,1.00177600608266
"C[4]",6.73373618488911,0.0116298560346377,0.740239561184942,5.56666618899265,6.66580278626398,8.37654863048799,4051.31401228684,1.00057282922455
"C[5]",6.80929325012899,0.00720076992671062,0.466714677269014,6.16304492274721,6.71393074552583,7.93259032290846,4200.92615841704,1.0002642514623
"C[6]",6.42297049328408,0.0136976318348544,0.805751422633805,5.06518058187588,6.38484356168801,8.1393247685738,3460.27953187218,0.999794165203094
"C[7]",7.22714658141004,0.00715395291122586,0.433710475452134,6.61603319761399,7.14013201163694,8.26454760044379,3675.42588186531,1.00030667810947
"C[8]",7.34457273270953,0.00586022426089286,0.392152345156338,6.77229083936933,7.27723485697302,8.30666225781979,4477.96980657035,0.999965389286006
"C[9]",7.68194560388803,0.00536597937800674,0.349884949426521,7.16862365896634,7.61840528839794,8.53171427565745,4251.6012310883,0.999966898163626
"C[10]",7.36609626111572,0.00669652727142806,0.424170138961581,6.76487373588876,7.28094389472959,8.39689754537552,4012.18453227239,1.0004219224784
"C[11]",7.14986157333305,0.00755943902281343,0.483126641765015,6.45982917357424,7.06097782494587,8.33043578786644,4084.53703072048,1.00054540759908
"C[12]",6.00069813271328,0.00734679677702608,0.447940757319334,5.3779185776081,5.90547999973059,7.09580310210107,3717.44974565654,1.00020693413794
"C[13]",8.50720324439784,0.00740437951038326,0.48239928468397,7.83346827017932,8.40729999096301,9.70807493395061,4244.59217980457,1.00056774793108
"C[14]",8.37655195815586,0.00765106222869581,0.476057129655914,7.7069763309085,8.2840502114887,9.48208897022786,3871.45913094445,1.00118558506715
"C[15]",8.05164101963585,0.00786722571046376,0.50549993568221,7.3428512611058,7.96160321922464,9.2706595006834,4128.56369142115,0.999660751115907
"C[16]",7.83670493322286,0.00888364687071416,0.54029505466639,7.08152543544329,7.73007482691708,9.1611445194216,3698.95809512492,1.00104057648154
"C[17]",6.69309658814635,0.00977626008921587,0.621647179334797,5.79355986007079,6.58938661987154,8.15161848698986,4043.36028161654,1.00033020785161
"C[18]",6.60431106202404,0.00713839949653825,0.457282265053491,5.9710737581517,6.51105318593327,7.69600511254894,4103.61886729497,1.00071149122826
"C[19]",3.97485401736386,0.00774470389752844,0.480192553226537,3.28726923350631,3.88138951220924,5.14183860738997,3844.33482136824,1.00067108949044
"C[20]",6.17758007679161,0.0149012634322111,0.934997934697963,4.40665335799091,6.14681064299879,8.09215270137189,3937.08796514119,0.999769307691394
"C[21]",3.98574504614266,0.0106742258532111,0.68780779128507,2.97300958806646,3.88272037985241,5.5684551963976,4152.03883356254,0.999836588387429
"C[22]",6.56875012852322,0.00828366263642875,0.544123601569902,5.80813304581217,6.46530936820902,7.82287431023238,4314.69718454898,0.999870575834719
"C[23]",7.34125176983448,0.0105687396113731,0.634731141233111,6.44406871807806,7.22067699886124,8.84874101299719,3606.89264603696,1.0002539776159
"C[24]",6.55379695927147,0.0109431759322635,0.681762442101364,5.53589548547487,6.46752949569085,8.08513178232149,3881.31939349338,0.999739324827552
"C[25]",6.90669402271387,0.010819596946383,0.658293657509419,5.89312907219715,6.82988075177295,8.37059803645728,3701.83601452286,1.00065598972428
"C[26]",6.62542930258324,0.0110753378365147,0.658594362866734,5.65745897896691,6.52843083850734,8.10835992790813,3536.07976505545,1.00069933538239
"C[27]",8.3155745018076,0.012949332470702,0.82973976622465,6.94131931668831,8.24711271295717,10.0563973586899,4105.71733640395,1.00068445609508
"C[28]",8.17815035648245,0.0121060071369988,0.837994958129469,6.72916808138297,8.1369894197098,9.90677731121481,4791.60445592035,1.00032334628102
"C[29]",5.9069826101539,0.0101026508747633,0.635974050441283,4.9978881777753,5.79824429205247,7.38902411155203,3962.85426305231,1.00025876121311
"C[30]",5.32503138157132,0.00952715278494666,0.649414897510146,4.36066679711373,5.22983810273831,6.80119292994097,4646.41754102501,1.00003873406143
"C[31]",6.6830904680508,0.0126079416639301,0.837880587058695,5.20976863692726,6.64417833805621,8.42683021434585,4416.4760051916,1.00004764540336
"C[32]",6.65346243165652,0.0125366601813588,0.767206336679887,5.42532687922888,6.59491489793399,8.31349728053578,3745.07616315075,1.0008062365188
"C[33]",7.21334964484456,0.0114202873347829,0.724426970286032,6.11612036905995,7.11686062037137,8.82717213483464,4023.78863334315,1.00071096759802
"C[34]",6.37662514641501,0.00745338645878573,0.462146949346691,5.74294120906854,6.27898592240441,7.51242912128057,3844.61539911222,1.00102758223584
"C[35]",7.92078808335888,0.00836015022005504,0.566335392122888,7.12786921938391,7.8068927774421,9.26256480360306,4589.0125303272,0.999769268913945
"C[36]",7.45576500821337,0.00740300900650145,0.462444288800926,6.80428517627494,7.35866945463048,8.58204109506157,3902.13495220003,0.999848180928591
"C[37]",7.32532956134617,0.00961752082063392,0.588057506231332,6.48839260772348,7.22162379136065,8.71787359398058,3738.63722115566,1.00127420384236
"C[38]",6.84191004807656,0.0068262203981192,0.449860071473914,6.19754904535569,6.75223652606692,7.95058135795652,4343.04454085458,1.00044719795288
"C[39]",7.3628129709942,0.00736772887412678,0.441851778465109,6.73713958799108,7.26864333786147,8.44545854701419,3596.54868130108,1.00000926409805
"C[40]",7.69780568445992,0.00913520795326315,0.622761415713622,6.78326670841006,7.60454365372297,9.14301854673368,4647.36216916705,1.00001608849575
"C[41]",7.97029010459502,0.00763050010806753,0.492719201188755,7.28626124272367,7.871219062208,9.16845202600287,4169.58631183677,1.00072063945407
"C[42]",7.72146508005031,0.00722956011634036,0.461410213179159,7.08341401974081,7.63072941265453,8.86877413436352,4073.33997929394,0.999906626098382
"C[43]",5.83048329769973,0.00824883818214959,0.511194666870714,5.11647981568723,5.73973240367357,7.0530722033378,3840.49372998179,0.999756873450496
"C[44]",7.52619411494021,0.0089966651097523,0.557101124117894,6.7354861681915,7.41629165685422,8.81254026913762,3834.46660868888,1.00045855778162
"C[45]",6.16219168578329,0.00990486703563623,0.619179845927088,5.27069402418682,6.06112326960099,7.59976937824016,3907.83594951701,0.999658915821745
"C[46]",5.31017688469496,0.0114132411698375,0.71895365634197,4.2551965344108,5.20102556781208,6.95040487786561,3968.11093276485,1.00019503080908
"C[47]",4.54829518178459,0.0141014429090524,0.870831075042073,3.10680382402902,4.48411503452126,6.37317706374465,3813.64909110663,1.00029784713027
"C[48]",6.00394028822734,0.00913655513979651,0.572618357029214,5.19510511316793,5.90295841937096,7.32667580517491,3927.94659085322,1.00012522702581
"C[49]",4.90210241271273,0.0229343501456917,1.35611319220584,2.60728208719879,4.79158284559525,7.74185118052839,3496.38303344478,0.999957056472459
"C[50]",5.48681307573945,0.0145510959695143,0.913445040359301,3.79035485829271,5.46237955006728,7.33465298484828,3940.70054625063,1.00012109386679
"C[51]",4.65547940065059,0.0112460792032333,0.710425740064226,3.58433629193592,4.55865313950443,6.23298760998455,3990.57154172927,1.00011060490038
"C[52]",5.08848850832344,0.0184131978633969,1.12110507898206,3.02201533751183,5.07653531409839,7.37629995454503,3707.09913576727,1.00006383074331
"C[53]",5.7159195381339,0.0204292986921336,1.25420807135713,3.29371976505709,5.70652536505965,8.24967960796599,3769.05318874482,0.999862190033916
"C[54]",8.26990006423212,0.0241012428597912,1.66750342175794,4.91808965093007,8.2730579955608,11.5007090815555,4786.90258561396,0.999772638369348
"C[55]",8.16725096064576,0.0255625145746443,1.69682112121365,4.86300446494017,8.16895979365503,11.4777545694091,4406.20782011232,0.99981322047922
"C[56]",8.15810101401205,0.026083275102805,1.69057564802062,4.81979513603046,8.14983764316379,11.471597193044,4200.9254429584,1.00109226634786
"C[57]",8.16772867308221,0.0256940188956136,1.70457986808766,4.70932921220776,8.19645965840122,11.460722120606,4401.19520848553,0.999663876052846
"C[58]",8.30892448567062,0.0257427530151702,1.60864990192622,5.23808606313257,8.2667736336958,11.4453995074819,3904.92856740761,0.999894010899763
"C[59]",4.70643445482752,0.017619437641946,1.12751313429694,2.73596995779869,4.64739246755339,7.02526442948041,4095.04928857355,1.00071312068975
"C[60]",8.32896341816919,0.0241106868088624,1.6302237294142,5.09527274652517,8.32415794134243,11.5554688615575,4571.67403692279,1.00002391686368
"C[61]",4.6958263790173,0.00823636282057842,0.538678830277963,3.92039474403353,4.59739056773506,6.03435495456238,4277.48876757853,0.999875131180121
"C[62]",8.61731224116524,0.0228163294212735,1.55750457723411,5.63272188644087,8.58557836569481,11.7004183608738,4659.79816704421,1.00019688283609
"C[63]",5.97719187621916,0.0172059763993774,1.06305012297126,3.88610206162841,5.97798698116421,8.04883917851585,3817.23448308483,0.999950918215335
"C[64]",8.44858786607184,0.0248351164859034,1.61741533136684,5.38152613120451,8.4316855418296,11.6938105650201,4241.41441648547,0.999747852817266
"C[65]",5.32669795551267,0.0149515958640176,0.969409194963217,3.64521755505904,5.26795699577862,7.34966505514043,4203.77216351495,1.00149351983994
"C[66]",4.81837610440315,0.0220761343406336,1.34416373426201,2.61986154434525,4.72644855405923,7.68875557995079,3707.30478165302,1.00040108117428
"sigma_tech",0.54064987060249,0.000253040854394563,0.0190737843498541,0.505002445573381,0.540089957581001,0.579159691484674,5681.88508137714,0.999829919877235
"alpha",-3.77906870239852,0.00546831319385039,0.476576123352374,-4.77046969578302,-3.76164731815281,-2.89936557353304,7595.52503330143,1.00038438678016
"beta",1.66345732808837,0.00178867141512858,0.164608405429753,1.36112975704915,1.65734991323196,2.00421542716217,8469.20963052506,1.00039787682408
"logC50",2.26762215734377,0.00123090623786859,0.113595875327912,2.03734800599713,2.26949928889839,2.48615239816361,8516.77511112593,0.999828819063291
