"scenario","component","true","estimate","lo95","hi95","covered"
"distinct rates","sigma_bio",0.6,0.562725475222235,0.510356950911257,0.623080574128232,TRUE
"distinct rates","sigma_tech",0.11,0.111877438142157,0.105266916351636,0.119068678881265,TRUE
"distinct rates","beta",2,2.29436671755323,1.81284740472091,2.86674896299745,TRUE
"distinct rates","logC50",2.30258509299405,2.20696659575156,2.01068790440003,2.40026961804311,TRUE
"actual rates","sigma_bio",0.6,0.527915954108895,0.482269669072079,0.576974410814802,FALSE
"actual rates","sigma_tech",0.11,0.109881512763031,0.102979863341154,0.116761015149759,TRUE
"actual rates","beta",2,2.2087886588625,1.87219453675958,2.5874138115909,TRUE
"actual rates","logC50",2.30258509299405,2.38777809338793,2.2507896457059,2.52451845370373,TRUE
"low biological variation","sigma_bio",0.1,0.101827785136102,0.0858232158736528,0.119789778400529,TRUE
"low biological variation","sigma_tech",0.11,0.112179721472536,0.103981204024504,0.121058232917436,TRUE
"low biological variation","beta",2,2.07919382640008,1.71878457011255,2.47890203227705,TRUE
"low biological variation","logC50",2.30258509299405,2.32919533288136,2.16030589087055,2.49455915672818,TRUE
"observed biological variation","sigma_bio",0.6,0.601983632132077,0.538947594834446,0.675190861758203,TRUE
"observed biological variation","sigma_tech",0.11,0.112298095623526,0.104239807840048,0.121152652143413,TRUE
"observed biological variation","beta",2,2.23179324125339,1.83339371696473,2.67053227825736,TRUE
"observed biological variation","logC50",2.30258509299405,2.378952723828,2.20958715913977,2.54388334816507,TRUE
"high biological variation","sigma_bio",1.2,1.19436560494921,1.07081751767573,1.32651553323388,TRUE
"high biological variation","sigma_tech",0.11,0.112231561421873,0.104150918833057,0.121481248300303,TRUE
"high biological variation","beta",2,2.04483633827805,1.6756969627365,2.45925441399206,TRUE
"high biological variation","logC50",2.30258509299405,2.30683588937283,2.12487825292735,2.48056756892181,TRUE
"2 markers, similar rates","sigma_bio",0.6,0.500859119564863,0.433746976687892,0.577245298029789,FALSE
"2 markers, similar rates","sigma_tech",0.11,0.111676976502248,0.102016504477407,0.122783156028228,TRUE
"2 markers, similar rates","beta",2,1.93812756013907,1.14467219797726,2.90901603024638,TRUE
"2 markers, similar rates","logC50",2.30258509299405,2.51620215868903,1.69312031354927,3.0034298551219,TRUE
"3 markers","sigma_bio",0.6,0.555081238647263,0.475865118336299,0.646964269979629,TRUE
"3 markers","sigma_tech",0.11,0.109183600052431,0.0994853782624642,0.120104587103349,TRUE
"3 markers","beta",2,2.13559046367683,1.62821813116758,2.74654349380391,TRUE
"3 markers","logC50",2.30258509299405,2.35207232210403,2.06359773954175,2.63520549447281,TRUE
"6 markers","sigma_bio",0.6,0.615835905712027,0.555291882799233,0.68427624428008,TRUE
"6 markers","sigma_tech",0.11,0.102959045948533,0.0963571554868756,0.110141847096632,TRUE
"6 markers","beta",2,1.97587577635758,1.62193149597764,2.39208156355908,TRUE
"6 markers","logC50",2.30258509299405,2.5006447324376,2.30241686211537,2.69645314193137,TRUE
